Ti (wt%),Mo (wt%),Al (wt%),Sn (wt%),V (wt%),Zr (wt%),Cr (wt%),Nb (wt%),Ta (wt%),Fe (wt%),W (wt%),Si (wt%),O (wt%),Y (wt%),transition temperature (°C),Process,Strength (MPa),Elongation (%),source
84.68,6.63,3.01,0.0,0.0,0.0,2.65,2.8,0.0,0.0,0.0,0.0,0.23,0.0,850.0,"Solution: 880.0°C for 0.5h, cooled by Water Quench (WQ).",903.0,24.0,none
84.68,6.63,3.01,0.0,0.0,0.0,2.65,2.8,0.0,0.0,0.0,0.0,0.23,0.0,850.0,"Solution: 820.0°C for 0.5h, cooled by Water Quench (WQ).",965.0,10.9,none
84.68,6.63,3.01,0.0,0.0,0.0,2.65,2.8,0.0,0.0,0.0,0.0,0.23,0.0,850.0,"Solution: 880.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 530.0°C for 6.0h, cooled by Air Cool (AC).",1311.0,2.1,none
84.68,6.63,3.01,0.0,0.0,0.0,2.65,2.8,0.0,0.0,0.0,0.0,0.23,0.0,850.0,"Solution: 820.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 530.0°C for 6.0h, cooled by Air Cool (AC).",1296.0,4.7,none
82.19,6.62,4.22,0.0,0.0,0.0,3.9,2.86,0.0,0.0,0.0,0.0,0.21,0.0,860.0,"Solution: 890.0°C for 0.5h, cooled by Water Quench (WQ).",893.0,19.5,none
82.19,6.62,4.22,0.0,0.0,0.0,3.9,2.86,0.0,0.0,0.0,0.0,0.21,0.0,860.0,"Solution: 830.0°C for 0.5h, cooled by Water Quench (WQ).",942.0,9.1,none
82.19,6.62,4.22,0.0,0.0,0.0,3.9,2.86,0.0,0.0,0.0,0.0,0.21,0.0,860.0,"Solution: 890.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 540.0°C for 6.0h, cooled by Air Cool (AC).",1378.0,1.5,none
82.19,6.62,4.22,0.0,0.0,0.0,3.9,2.86,0.0,0.0,0.0,0.0,0.21,0.0,860.0,"Solution: 830.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 540.0°C for 6.0h, cooled by Air Cool (AC).",1308.0,5.2,none
80.723,7.0,5.06,0.0,0.0,0.0,3.62,2.9,0.0,0.477,0.0,0.0,0.22,0.0,880.0,"Solution: 910.0°C for 0.5h, cooled by Water Quench (WQ).",880.0,13.6,none
80.723,7.0,5.06,0.0,0.0,0.0,3.62,2.9,0.0,0.477,0.0,0.0,0.22,0.0,880.0,"Solution: 850.0°C for 0.5h, cooled by Water Quench (WQ).",931.0,8.2,none
80.723,7.0,5.06,0.0,0.0,0.0,3.62,2.9,0.0,0.477,0.0,0.0,0.22,0.0,880.0,"Solution: 910.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 560.0°C for 6.0h, cooled by Air Cool (AC).",1417.0,1.7,none
80.723,7.0,5.06,0.0,0.0,0.0,3.62,2.9,0.0,0.477,0.0,0.0,0.22,0.0,880.0,"Solution: 850.0°C for 0.5h, cooled by Water Quench (WQ). Aging: 560.0°C for 6.0h, cooled by Air Cool (AC).",1366.0,4.5,none
89.02,0.0,5.07,0.0,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,"Solution: 700.0°C for 1.0h, cooled by Air Cool (AC).",904.977,17.3749,none
89.02,0.0,5.07,0.0,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,"Solution: 750.0°C for 1.0h, cooled by Air Cool (AC).",839.367,18.2795,none
89.02,0.0,5.07,0.0,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,"Solution: 800.0°C for 1.0h, cooled by Air Cool (AC).",823.529,18.3412,none
89.02,0.0,5.07,0.0,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,"Solution: 900.0°C for 1.0h, cooled by Air Cool (AC).",841.629,18.2246,none
89.02,0.0,5.07,0.0,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,"Solution: 950.0°C for 1.0h, cooled by Air Cool (AC).",837.104,14.2483,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,"Solution: 700.0°C for 1.0h, cooled by Air Cool (AC).",878.652,17.7578,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,"Solution: 800.0°C for 1.0h, cooled by Air Cool (AC).",862.921,19.1031,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,"Solution: 900.0°C for 1.0h, cooled by Air Cool (AC).",856.18,19.3722,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,"Solution: 950.0°C for 1.0h, cooled by Air Cool (AC).",874.157,15.6054,none
87.57,0.0,4.97,0.0,3.11,2.83,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,"Solution: 700.0°C for 1.0h, cooled by Air Cool (AC).",901.267,18.4821,none
87.57,0.0,4.97,0.0,3.11,2.83,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,"Solution: 800.0°C for 1.0h, cooled by Air Cool (AC).",903.826,19.0179,none
87.57,0.0,4.97,0.0,3.11,2.83,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,"Solution: 900.0°C for 1.0h, cooled by Air Cool (AC).",893.018,18.75,none
87.57,0.0,4.97,0.0,3.11,2.83,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,"Solution: 950.0°C for 1.0h, cooled by Air Cool (AC).",883.164,18.2143,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,"Processing temperature: 950.0°C. Solution: 700.0°C for 1.0h, cooled by Air Cool (AC).",973.764,14.2573,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,"Processing temperature: 950.0°C. Solution: 800.0°C for 1.0h, cooled by Air Cool (AC).",945.313,17.6014,none
88.21,0.0,5.13,0.0,3.03,2.87,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,"Processing temperature: 950.0°C. Solution: 900.0°C for 1.0h, cooled by Air Cool (AC).",934.751,17.8843,none
